Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
HNF1B	gene	HNF1B	Expert Review Green;Expert list;UKGTN	Cystic renal disease			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Polycystic Kidney Disease, Nephronophthisis And Related Disorders 22 Gene Panel	189907						3		13.2			ENSG00000275410	ENSG00000108753	HGNC:11630													
HNF1B	gene	HNF1B	Expert Review Green;UKGTN;Literature	Cystic renal disease			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Renal cysts and diabetes syndrome	189907			PMID: 11562418;12012276;15085338			3		13.2			ENSG00000275410	ENSG00000108753	HGNC:11630													
HYLS1	gene	HYLS1	Expert Review Green;Radboud University Medical Center, Nijmegen;Expert list;Emory Genetics Laboratory;UKGTN	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome;Hydrolethalus syndrome, 236680	610693			26830932 - report in two siblings with Joubert syndrome;19656802 - impairment in ciligenesis;18648327 - Hydrolethalus syndrome;15843405 - Hydrolethalus syndrome			3		13.2			ENSG00000198331	ENSG00000198331	HGNC:26558													
ICK	gene	ICK	Expert Review Green;Literature;Expert Review Green;Literature	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Endocrine-cerebroosteodysplasia, OMIM:612651;Endocrine-cerebro-osteodysplasia syndrome, MONDO:0012980	612325			19185282;27069622;27466187			3		13.2			ENSG00000112144	ENSG00000112144	HGNC:21219													
IFT122	gene	IFT122	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Cranioectodermal dysplasia;Cranioectodermal dysplasia 1, 218330	606045			19000668;24027799;23826986;26792575;24689072;20493458			3		13.2			ENSG00000163913	ENSG00000163913	HGNC:13556													
IFT140	gene	IFT140	Expert Review Green;Expert Review	Cystic renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Short-rib thoracic dysplasia 9 with or without polydactyly, OMIM:266920;short-rib thoracic dysplasia 9 with or without polydactyly, MONDO:0009964;cystic kidney disease, MONDO:0002473;{Polycystic kidney disease 9, susceptibility to}, OMIM:621164	614620			22503633;23418020;29706353;34890546			3		13.2			ENSG00000187535	ENSG00000187535	HGNC:29077													
IFT140	gene	IFT140	NHS GMS;Expert Review Green;Research;Literature	Cystic renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Short-rib thoracic dysplasia 9 with or without polydactyly, OMIM:266920;short-rib thoracic dysplasia 9 with or without polydactyly, MONDO:0009964;cystic kidney disease, MONDO:0002473;{Polycystic kidney disease 9, susceptibility to}, OMIM:621164	614620			22503633;23418020;34890546			3		13.2			ENSG00000187535	ENSG00000187535	HGNC:29077													
IFT172	gene	IFT172	Expert Review Green;Expert list	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Short-rib thoracic dysplasia 10 with or without polydactyly, OMIM:615630	607386			25168386;30761183;24488770;24140113			3		13.2			ENSG00000138002	ENSG00000138002	HGNC:30391													
IFT27	gene	IFT27	Expert Review Green;Expert list;Radboud University Medical Center, Nijmegen;UKGTN	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 19, OMIM:615996	615870			24488770;29704304;30761183			3		13.2			ENSG00000100360	ENSG00000100360	HGNC:18626													
IFT43	gene	IFT43	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Cranioectodermal dysplasia 3, 614099;Sensenbrenner syndrome;Short-rib thoracic dysplasia 18 with polydactyly, 617866	614068			29896747;28400947;26892345;24027799;21378380;22791528			3		13.2			ENSG00000119650	ENSG00000119650	HGNC:29669													
INPP5E	gene	INPP5E	Expert Review Green;Expert list;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome;Joubert syndrome 1	613037			23386033;26748598			3		13.2			ENSG00000148384	ENSG00000148384	HGNC:21474													
INVS	gene	INVS	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Senior-Loken syndrome;Nephronophthisis 2, infantile, 602088;Nephronophthisis	243305			12872123			3		13.2			ENSG00000119509	ENSG00000119509	HGNC:17870													
INVS	gene	INVS	Expert Review Green;Expert	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Ciliopathy genes associated with cystic kidney disease	243305						3		13.2			ENSG00000119509	ENSG00000119509	HGNC:17870													
IQCB1	gene	IQCB1	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Senior-Loken syndrome 5, 609254;Senior-Loken syndrome	609237						3		13.2			ENSG00000173226	ENSG00000173226	HGNC:28949													
KIAA0586	gene	KIAA0586	Expert Review Green;Expert list;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 23;Joubert syndrome;Short-rib thoracic dysplasia 14 with polydactyly;Short-rib dysplasia 14 with polydactyly	610178			26096313			3		13.2			ENSG00000100578	ENSG00000100578	HGNC:19960													
KIAA0753	gene	KIAA0753	Expert Review Green;Literature;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	?Orofaciodigital syndrome XV 617127;Joubert syndrome;Short-rib skeletal dysplasia	617112			29138412;28220259;26643951			3		13.2			ENSG00000198920	ENSG00000198920	HGNC:29110													
KIF7	gene	KIF7	Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Other;Emory Genetics Laboratory	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 12   200990;Acrocallosal syndrome   200990	611254			21633164			3		13.2			ENSG00000166813	ENSG00000166813	HGNC:30497													
LZTFL1	gene	LZTFL1	Expert Review Green;Radboud University Medical Center, Nijmegen;Expert list;Emory Genetics Laboratory;UKGTN;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 17, 615994	606568			22510444;27312011;23692385			3		13.2			ENSG00000163818	ENSG00000163818	HGNC:6741													
MAPKBP1	gene	MAPKBP1	Expert Review Green;Literature	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 20   617271	616786			28089251			3		13.2			ENSG00000137802	ENSG00000137802	HGNC:29536													
MAPKBP1	gene	MAPKBP1	Expert Review Green;Expert list	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	NEPHRONOPHTHISIS 20	616786			28089251			3		13.2			ENSG00000137802	ENSG00000137802	HGNC:29536													
MKKS	gene	MKKS	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 6;236700	604896			10802661;10973251;10973238			3		13.2			ENSG00000125863	ENSG00000125863	HGNC:7108													
MKS1	gene	MKS1	Orphanet;Eligibility statement prior genetic testing;Expert list;Expert Review Green;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	occipital encephalocele;Joubert syndrome;Bardet-Biedl syndrome;Joubert syndrome 28;249000;polydactyly;polycystic kidneys;Meckel-Gruber syndrome;Meckel syndrome;renal fibrosis	609883			26490104;17437276;18327255;24886560;16415886			3		13.2		Other - please provide details in the comments	ENSG00000011143	ENSG00000011143	HGNC:7121													
NEK8	gene	NEK8	NHS GMS;Expert Review Green;Expert	Cystic renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Polycystic kidney disease 8, OMIM:620903;polycystic kidney disease, MONDO:0020642;?Nephronophthisis 9, OMIM:613824	609799			18199800;37598857			3		13.2		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000160602	ENSG00000160602	HGNC:13387													
NEK8	gene	NEK8	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Renal-hepatic-pancreatic dysplasia;?Renal-hepatic-pancreatic dysplasia 2, 615415;Nephronophthisis;?Nephronophthisis 9, 613824	609799			18199800;26967905;26862157;26697755;23418306			3		13.2			ENSG00000160602	ENSG00000160602	HGNC:13387													
NPHP1	gene	NPHP1	Expert Review Green;Expert	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Ciliopathy genes associated with cystic kidney disease	607100			34415307			3		13.2			ENSG00000144061	ENSG00000144061	HGNC:7905													
NPHP1	gene	NPHP1	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Other;Emory Genetics Laboratory	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 4;Senior-Loken syndrome;256100 Senior-Loken syndrome-1, 266900;609583 Nephronophthisis 1, juvenile;Nephronophthisis	607100			15138899;22982934;15689444;34415307			3		13.2			ENSG00000144061	ENSG00000144061	HGNC:7905													
NPHP3	gene	NPHP3	Expert Review Green;Expert	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Ciliopathy genes associated with cystic kidney disease	608002						3		13.2			ENSG00000113971	ENSG00000113971	HGNC:7907													
NPHP3	gene	NPHP3	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Renal-hepatic-pancreatic dysplasia;Senior-Loken syndrome;Nephronophthisis 3, 604387;Meckel syndrome 7, 267010;Renal-hepatic-pancreatic dysplasia 1, 208540;Nephronophthisis	608002						3		13.2			ENSG00000113971	ENSG00000113971	HGNC:7907													
