Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AVPR2	gene	AVPR2	NHS GMS;Expert Review Green;Other	Unexplained young onset end-stage renal disease			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Diabetes insipidus, nephrogenic, OMIM:304800;Nephrogenic syndrome of inappropriate antidiuresis, OMIM:300539	300538			18726898;27565746;27117808;26974133;26828532			3		13.1		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000126895	ENSG00000126895	HGNC:897													
B9D2	gene	B9D2	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 34, OMIM:614175;Meckel syndrome 10, OMIM:614175;Meckel syndrome, type 10, MONDO:0013609	611951			26092869;21763481;31411728			3		13.1			ENSG00000123810	ENSG00000123810	HGNC:28636													
BBS1	gene	BBS1	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 1 OMIM:209900;Bardet-Biedl syndrome 1 MONDO:0008854	209901			23143442;12118255			3		13.1			ENSG00000174483	ENSG00000174483	HGNC:966													
BBS10	gene	BBS10	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 10	610148			16582908			3		13.1			ENSG00000179941	ENSG00000179941	HGNC:26291													
BBS12	gene	BBS12	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 12	610683			17160889			3		13.1			ENSG00000181004	ENSG00000181004	HGNC:26648													
BBS2	gene	BBS2	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 2	606151			11285252			3		13.1			ENSG00000125124	ENSG00000125124	HGNC:967													
BBS4	gene	BBS4	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 4	600374			11381270;22353939			3		13.1			ENSG00000140463	ENSG00000140463	HGNC:969													
BBS5	gene	BBS5	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 5	603650			15137946			3		13.1			ENSG00000163093	ENSG00000163093	HGNC:970													
BBS7	gene	BBS7	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 7	607590			12567324			3		13.1			ENSG00000138686	ENSG00000138686	HGNC:18758													
BBS9	gene	BBS9	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 9	607968			16380913			3		13.1			ENSG00000122507	ENSG00000122507	HGNC:30000													
BNC2	gene	BNC2	Other;Expert Review Green	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Lower urinary tract obstruction, congenital, OMIM:618612	608669			31051115			3		13.1		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000173068	ENSG00000173068	HGNC:30988													
BSND	gene	BSND	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Hypokalaemic alkalosis with hypercalciuria;Bartter syndrome type 4a;Sensorineural deafness with mild renal dysfunction MIM 602522	606412			11687798			3		13.1			ENSG00000162399	ENSG00000162399	HGNC:16512													
BSND	gene	BSND	Expert Review Green;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bartter Syndrome;Bartter syndrome, type 4a, 602522;Sensorineural deafness with mild renal dysfunction, 602522	606412						3		13.1			ENSG00000162399	ENSG00000162399	HGNC:16512													
C3	gene	C3	NHS GMS;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hemolytic uremic syndrome, atypical, susceptibility to, 5, OMIM:612925	120700			18796626			3		13.1		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000125730	ENSG00000125730	HGNC:1318													
C3	gene	C3	Expert Review Green	Unexplained young onset end-stage renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	C3 deficiency, OMIM:613779;{Hemolytic uremic syndrome, atypical, susceptibility to, 5}, OMIM:612925	120700			15781264;18796626			3		13.1			ENSG00000125730	ENSG00000125730	HGNC:1318													
C3	gene	C3	Expert Review Green;NHS GMS;Expert list	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Hemolytic uremic syndrome, atypical, susceptibility to, 5, OMIM:612925;C3 glomerulopathy;C3G	120700			24172683;20852386;18796626;21902819;26471127			3		13.1		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000125730	ENSG00000125730	HGNC:1318													
C5orf42	gene	C5orf42	Expert Review Green;Expert list;Other	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome;Oral-facial-digital syndrome type VI;Joubert syndrome 17	614571			22693042;25920555;22425360			3		13.1			ENSG00000197603	ENSG00000197603	HGNC:25801													
